Long	Lat	sat_min	sat_max	pptn_min	pptn_max	npp
-77.177	1.256	10.7999	11.7720	298.0344	563.2717	981.5612
-77.544	1.255	16.0001	16.6685	171.1073	535.9218	1022.4885
-77.911	1.255	17.7653	18.4200	264.8564	675.5509	966.3915
-78.284	0.993	20.9054	21.5671	456.9402	869.3948	994.3591
-55.92	0.91	24.9409	26.3407	213.0066	914.6060	943.1680
-58.346	0.92	25.4127	26.7139	225.7227	838.8794	955.2674
-60.824	0.929	26.4431	27.7454	202.4681	973.6309	859.0956
-63.35	1.144	24.3842	25.2485	342.0129	947.7514	985.1643
-63.713	1.145	24.1921	25.0393	377.1107	1002.9852	977.4506
-65.903	1.15	24.6848	25.4153	531.8022	1014.4908	947.2848
-67.743	1.153	25.5884	26.6145	736.3748	1152.7910	822.2059
-68.478	0.945	25.0908	26.2370	713.0107	1142.0702	802.8542
-69.591	1.156	24.8181	26.1341	609.7248	1104.4227	764.0495
-70.331	1.156	24.8505	26.2848	502.7441	1105.3459	821.8425
-70.702	1.156	24.9871	26.5852	448.9066	1053.3142	865.6998
-73.67	0.946	24.7668	26.7024	264.0303	912.0924	1206.4538
-76.352	0.944	24.1234	25.3723	697.4749	1290.8149	1377.5280
-76.626	1.153	21.8042	22.3011	746.8123	1348.2455	1247.0924
-76.994	1.152	12.4086	13.5829	396.6298	734.0200	1110.7468
-77.362	1.152	11.4794	12.3560	243.4260	464.8177	835.8155
-77.73	1.151	10.9598	11.6939	150.0325	439.9042	972.9508
-78.834	0.888	23.9989	24.7327	353.6334	817.2527	1057.2180
-56.43	0.811	25.1764	26.5147	223.6189	912.5878	962.6166
-58.869	0.82	25.2875	26.6214	231.8561	846.5746	945.4725
-61.364	1.034	26.4062	27.6251	207.7697	909.3205	915.0511
-63.342	0.884	24.7866	25.7174	346.4306	933.3546	937.2063
-63.529	1.04	23.3019	24.1334	371.0771	1010.2110	954.1143
-63.887	0.833	26.0858	26.9940	390.1491	966.9258	1018.7077
-66.085	1.046	25.4718	26.2796	548.4483	1032.4410	899.9501
-66.448	0.838	26.1537	26.9587	580.3473	985.1791	926.2918
-67.557	1.049	25.7590	26.7201	708.8793	1106.3550	822.8640
-69.031	0.841	24.8907	26.0870	687.3957	1097.5676	773.5885
-69.405	1.051	24.8179	26.0858	643.5369	1099.8126	761.1598
-69.775	1.051	24.7797	26.0992	611.2176	1104.0342	775.3599
-70.143	0.736	24.7637	26.0565	619.4295	1058.6067	801.0290
-70.423	0.947	24.8230	26.2509	524.3904	1063.1451	833.3085
-71.258	1.052	25.1415	26.8958	388.5778	1016.4866	895.1297
-71.536	0.842	25.1588	26.9365	384.8136	990.8481	911.4923
-72.371	1.052	25.3605	27.3712	288.6355	934.2513	1058.9436
-74.227	0.841	24.5111	26.3738	285.6848	949.8982	1283.2824
-76.443	1.049	23.2623	24.2351	748.3441	1340.7261	1279.0641
-76.812	1.048	16.0082	16.8445	504.9076	1050.4348	739.3205
-77.18	1.048	9.9468	11.1294	338.9025	570.7744	1010.8092
-77.548	1.047	11.9244	12.7035	174.5927	403.3291	757.3647
-77.915	1.046	12.6828	13.3425	133.3666	437.2795	1017.6833
-79.384	0.835	24.6893	25.5651	208.9729	734.0805	891.5266
-56.943	0.712	25.5518	26.8651	235.9541	903.2363	961.7797
-59.394	0.719	25.9917	27.3588	240.8201	866.3683	904.1816
-61.357	0.776	26.4029	27.5867	224.3119	917.0147	901.4287
-61.892	0.725	26.2861	27.3996	241.9718	868.7401	858.3561
-64.43	0.73	26.1639	27.0046	429.2594	945.2336	1004.8347
-65.899	0.942	21.2162	21.7894	561.6071	1043.5628	806.7733
-66.999	0.682	26.0791	26.9270	593.2121	988.8242	852.7244
-69.219	0.946	24.8902	26.1273	674.1277	1094.3004	758.7162
-69.587	0.736	24.7924	26.0284	676.6044	1081.2914	763.8868
-69.96	0.946	24.7386	26.0534	610.4633	1094.8730	788.5061
