T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
182.699	200.877	186.969	204.563	193.428	187.015	202.196	209.943	204.218	210.321	227.494	217.704	209.980	204.750	203.728	201.964	188.190	167.480	162.838	216.075	193.176	177.133	205.155	207.780	201.084	164.620	175.288	189.529	168.172	160.814	207.016	203.068	197.436	180.702	171.298	202.040	187.732	192.718	184.616	213.083	171.906	175.917	199.364	194.307	226.472	189.459	193.058	205.898	196.649	179.410	182.250
174.890	191.152	174.895	195.081	182.922	177.644	192.259	199.563	193.654	199.737	220.152	205.954	199.153	193.991	193.697	192.216	178.590	156.923	157.339	206.828	184.744	167.919	195.262	196.776	190.548	156.345	164.400	180.757	162.999	149.576	195.889	196.730	187.309	174.717	162.694	191.417	179.486	182.329	172.135	202.786	159.704	166.264	193.441	185.258	215.922	179.454	183.385	195.425	187.952	173.734	170.405
891.528	928.833	852.468	941.652	897.706	880.966	932.915	958.165	928.025	961.935	1055.824	973.698	952.547	937.580	935.921	932.239	884.126	797.991	845.966	1005.275	904.863	856.519	938.909	945.826	925.237	808.275	827.091	887.393	881.341	755.863	946.663	978.713	914.699	913.605	828.311	934.306	889.366	898.500	834.022	967.485	796.651	838.243	985.480	905.957	1016.467	882.091	900.220	945.014	920.642	911.473	831.404
421.200	452.107	392.324	464.461	424.402	417.770	453.686	470.509	453.183	469.559	547.087	478.360	465.968	452.478	456.718	455.024	418.851	354.589	389.372	498.051	443.649	393.170	461.755	458.417	444.916	367.598	372.420	430.181	407.211	329.124	455.498	490.290	438.669	433.042	382.462	446.770	430.664	423.857	382.164	479.834	350.399	384.705	484.577	440.726	513.670	418.418	431.355	458.567	450.638	432.997	382.094
172.121	155.450	161.246	154.882	151.742	173.701	177.106	189.854	147.104	155.059	136.790	163.256	141.531	151.376	163.158	162.946	187.989	194.824	252.340	136.045	135.781	199.399	123.206	180.439	133.684	194.908	183.868	143.468	238.026	140.322	179.142	125.120	178.898	189.536	195.153	174.224	140.078	185.940	158.269	151.114	170.067	181.411	191.980	165.629	118.978	147.732	178.231	172.128	159.681	223.104	179.832
156.510	142.223	189.217	139.345	156.385	158.903	162.099	172.454	148.667	151.583	100.213	160.036	139.068	150.237	148.023	154.079	170.326	219.624	196.137	126.907	123.491	204.566	117.568	166.972	138.943	176.306	211.813	129.337	196.555	170.772	174.062	92.695	161.530	155.160	175.052	167.536	125.547	182.648	189.752	138.183	206.714	172.399	150.269	147.977	114.895	150.006	162.295	162.325	139.028	184.924	197.475
98.367	92.538	176.588	87.873	125.171	103.845	104.597	108.057	117.037	109.361	31.581	117.013	104.472	113.042	95.203	106.406	107.030	192.251	72.050	83.042	82.320	155.245	86.145	109.229	113.784	111.363	189.215	82.976	87.884	169.376	122.274	32.398	100.779	71.082	108.440	117.094	81.702	131.021	183.191	88.702	199.915	119.164	56.333	92.236	85.524	119.323	104.142	110.140	83.067	85.012	170.812
158.718	167.593	328.960	161.396	228.278	181.799	183.103	184.166	221.284	196.086	45.860	209.645	192.892	204.004	168.239	194.197	184.782	349.536	77.984	146.366	162.367	258.428	166.772	187.562	213.486	189.828	342.194	170.901	104.635	332.269	207.215	50.870	171.162	92.192	186.364	202.320	156.952	224.674	349.690	164.117	373.197	209.319	59.951	169.383	160.812	221.260	182.824	193.854	146.144	106.638	310.747
353.511	391.687	526.306	392.132	433.235	399.758	403.887	403.201	440.173	407.285	269.311	421.540	405.258	411.195	388.160	418.329	407.153	548.663	288.107	356.141	401.604	438.025	389.505	401.791	422.124	408.726	533.747	431.217	293.462	546.931	406.976	271.400	386.963	285.708	411.048	408.989	390.221	426.624	555.739	395.239	567.063	425.035	254.877	405.042	372.535	431.500	405.250	410.442	369.330	297.533	508.875
550.326	606.739	719.709	609.626	636.503	609.139	617.840	618.452	651.662	617.953	490.669	635.620	618.061	620.200	602.736	631.430	619.203	734.489	489.782	567.461	618.074	620.231	604.498	616.281	629.555	611.760	717.154	656.520	482.430	742.708	612.744	485.815	599.341	482.482	618.317	617.357	605.126	628.163	752.663	616.064	754.349	629.919	456.311	621.834	587.684	636.041	618.262	623.246	582.442	490.375	703.481
