T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
17.530	17.279	17.212	17.000	16.706	16.294	16.610	17.175	17.816	18.047	18.626	17.969	17.495	17.272	16.490	16.898	16.813	17.580	18.078	17.928	16.774	17.508	17.606	16.933	17.088	16.056	17.912	17.210	17.709	17.019	18.019	17.633	16.885	17.139	16.350	16.447	16.217	17.778	17.524	17.820	17.067	17.208	17.944	17.093	16.780	16.853	16.642	16.725	16.280	17.805	17.618
21.116	20.809	20.850	20.556	20.214	19.828	20.131	20.705	21.353	21.495	22.094	21.562	20.968	20.726	20.029	20.432	20.353	21.240	21.570	21.344	20.315	21.060	21.065	20.467	20.577	19.578	21.510	20.760	21.112	20.688	21.469	21.115	20.408	20.593	19.883	19.947	19.746	21.229	21.220	21.362	20.736	20.657	21.366	20.648	20.297	20.377	20.186	20.248	19.760	21.161	21.275
23.818	23.396	23.662	23.196	22.757	22.424	22.698	23.202	23.957	23.914	24.548	23.968	23.433	23.122	22.634	23.025	22.962	24.102	24.080	23.693	22.922	23.701	23.499	22.987	23.076	22.147	24.244	23.382	23.439	23.568	23.752	23.593	22.885	23.019	22.473	22.475	22.323	23.623	24.153	23.971	23.612	23.075	23.729	23.283	22.858	22.951	22.804	22.818	22.240	23.390	24.132
25.353	24.833	25.287	24.683	24.154	23.867	24.123	24.665	25.405	25.206	25.881	25.495	24.770	24.458	24.088	24.475	24.417	25.763	25.451	24.929	24.383	25.168	24.816	24.479	24.440	23.571	25.793	24.862	24.645	25.247	25.120	24.955	24.387	24.324	23.917	23.854	23.767	24.952	25.880	25.433	25.289	24.369	24.973	24.773	24.271	24.376	24.267	24.244	23.596	24.517	25.788
24.409	23.783	24.264	23.642	22.901	22.835	22.917	23.387	24.318	24.081	24.959	24.221	23.820	23.441	22.998	23.154	23.394	24.662	24.838	23.807	23.302	24.517	23.733	23.372	23.236	22.530	25.043	23.551	23.925	24.273	24.361	23.738	23.330	23.217	22.847	22.836	22.363	24.245	24.772	24.304	24.188	23.608	24.083	23.525	23.091	23.301	23.220	22.916	22.406	23.749	25.005
24.726	24.844	24.154	24.426	23.918	23.708	23.782	24.270	25.282	25.547	26.205	25.051	25.172	24.881	23.840	23.963	24.290	24.387	25.715	25.379	24.133	25.099	24.948	24.224	24.373	23.474	25.263	24.214	25.470	23.832	25.788	24.628	24.359	24.506	23.634	23.936	23.124	25.716	24.195	25.279	23.855	25.158	25.546	24.182	24.198	24.292	24.022	23.820	23.246	25.456	24.720
27.191	28.275	26.066	27.510	27.265	26.858	26.926	27.453	28.587	29.527	29.937	28.200	29.002	28.798	26.965	27.052	27.489	26.072	28.961	29.504	27.260	27.905	28.620	27.360	27.898	26.715	27.604	27.147	29.800	25.313	29.670	27.877	27.723	28.223	26.685	27.380	26.124	29.688	25.508	28.623	25.461	29.231	29.528	27.096	27.674	27.604	27.091	27.000	26.370	29.765	26.419
27.331	29.035	25.817	28.081	28.073	27.510	27.648	28.195	29.266	30.606	30.992	28.853	30.053	29.558	27.596	27.711	28.148	25.648	29.734	30.896	27.895	28.221	29.752	28.018	28.839	27.432	27.611	27.716	31.040	24.791	30.498	28.738	28.388	29.285	27.337	28.217	26.788	30.421	24.857	29.339	24.997	30.074	30.800	27.648	28.240	28.330	27.696	27.701	27.291	31.281	26.020
26.294	27.987	24.438	27.348	27.278	26.878	27.150	27.697	28.444	29.965	30.671	27.962	29.156	28.788	26.831	27.136	27.489	24.158	29.284	30.505	27.259	27.235	29.561	27.347	28.085	26.853	26.408	27.110	30.796	23.301	29.874	28.455	27.330	28.985	26.793	27.685	26.305	29.679	23.239	28.391	23.496	29.170	30.682	27.025	27.182	27.496	27.039	27.122	27.205	31.372	24.575
27.073	28.847	25.236	28.141	28.267	27.730	28.115	28.662	29.318	31.043	31.566	28.951	30.089	29.802	27.730	28.079	28.304	24.894	30.178	31.680	28.099	27.960	30.595	28.289	29.106	27.720	27.126	28.043	32.055	24.042	30.942	29.521	28.263	29.945	27.715	28.569	27.325	30.675	23.971	29.247	24.235	30.061	31.676	27.940	28.119	28.396	27.890	28.068	28.302	32.450	25.282
26.214	27.314	24.915	26.562	26.826	26.118	26.511	27.016	27.644	29.243	29.487	27.590	28.376	28.101	26.220	26.573	26.624	24.836	28.438	29.542	26.502	26.805	28.572	26.702	27.553	26.046	26.389	26.641	29.596	24.090	29.080	27.927	26.860	28.021	26.143	26.758	25.888	28.877	24.186	27.668	24.218	28.264	29.416	26.512	26.728	26.844	26.319	26.537	26.692	30.043	25.055
25.480	25.722	24.694	25.205	25.341	24.710	25.116	25.600	26.183	27.212	27.618	26.293	26.455	26.396	24.851	25.277	25.166	24.860	26.868	27.381	25.114	25.781	26.680	25.330	25.902	24.576	25.768	25.444	27.323	24.211	27.354	26.487	25.393	26.266	24.771	25.162	24.645	26.940	24.479	26.142	24.280	26.388	27.357	25.289	25.337	25.355	24.957	25.212	25.160	27.800	24.930
22.570	22.560	22.028	22.166	22.080	21.561	21.925	22.453	23.063	23.676	24.170	23.173	23.024	22.849	21.732	22.152	22.050	22.299	23.521	23.696	22.006	22.700	23.190	22.193	22.548	21.374	22.905	22.397	23.545	21.698	23.604	23.113	22.186	22.746	21.621	21.860	21.495	23.402	22.088	23.044	21.753	22.841	23.691	22.257	22.113	22.162	21.861	22.032	21.774	23.834	22.352
21.762	21.696	21.272	21.328	21.139	20.701	21.052	21.589	22.207	22.731	23.244	22.208	22.102	21.813	20.877	21.293	21.196	21.567	22.620	22.718	21.153	21.858	22.254	21.332	21.642	20.501	22.109	21.553	22.553	20.975	22.551	22.201	21.209	21.805	20.759	20.966	20.631	22.397	21.391	22.193	21.028	21.890	22.718	21.419	21.144	21.292	21.011	21.161	20.860	22.796	21.617
17.882	17.652	17.445	17.411	17.043	16.768	17.108	17.553	18.175	18.585	19.245	18.133	18.046	17.666	16.870	17.362	17.246	17.762	18.645	18.654	17.228	17.944	18.175	17.240	17.533	16.556	18.241	17.637	18.488	17.179	18.387	18.216	17.120	17.792	16.825	16.999	16.693	18.237	17.623	18.123	17.231	17.744	18.673	17.509	17.064	17.207	17.089	17.179	16.749	18.685	17.809
13.625	13.447	13.241	13.132	12.886	12.459	12.787	13.340	13.974	14.319	14.871	13.996	13.737	13.458	12.646	13.055	12.968	13.581	14.295	14.241	12.926	13.654	13.862	13.086	13.309	12.235	13.997	13.345	14.047	13.007	14.162	13.856	12.970	13.403	12.514	12.656	12.380	14.015	13.477	13.969	13.058	13.482	14.252	13.222	12.923	13.030	12.791	12.899	12.510	14.198	13.624
9.601	9.366	9.268	9.078	8.799	8.381	8.697	9.259	9.901	10.156	10.728	10.043	9.598	9.380	8.574	8.979	8.897	9.631	10.177	10.046	8.856	9.595	9.710	9.019	9.186	8.146	9.984	9.285	9.837	9.066	10.121	9.727	8.974	9.246	8.436	8.545	8.298	9.893	9.563	9.901	9.116	9.319	10.062	9.168	8.871	8.942	8.725	8.811	8.379	9.943	9.672
21.059	20.768	20.778	20.506	20.179	19.787	20.091	20.661	21.310	21.477	22.068	21.519	20.942	20.706	19.985	20.386	20.310	21.164	21.541	21.334	20.269	21.019	21.040	20.425	20.547	19.539	21.454	20.708	21.111	20.609	21.460	21.081	20.370	20.572	19.840	19.917	19.700	21.217	21.132	21.316	20.657	20.639	21.356	20.596	20.260	20.338	20.141	20.207	19.731	21.171	21.201
19.452	19.106	19.224	18.870	18.496	18.128	18.420	18.999	19.656	19.734	20.344	19.744	19.222	18.968	18.332	18.729	18.658	19.633	19.841	19.558	18.618	19.379	19.307	18.768	18.843	17.868	19.860	19.066	19.321	19.086	19.645	19.371	18.677	18.833	18.180	18.224	18.037	19.476	19.636	19.666	19.133	18.895	19.585	18.960	18.585	18.669	18.494	18.538	18.018	19.335	19.667
24.670	24.123	24.637	23.981	23.433	23.159	23.403	24.005	24.703	24.451	25.124	24.848	24.022	23.705	23.381	23.759	23.713	25.133	24.717	24.154	23.670	24.483	24.052	23.804	23.703	22.853	25.131	24.149	23.870	24.621	24.371	24.196	23.692	23.562	23.203	23.135	23.041	24.216	25.266	24.726	24.660	23.609	24.204	24.063	23.555	23.662	23.564	23.528	22.847	23.715	25.160
23.921	23.265	23.811	23.157	22.360	22.289	22.379	22.864	23.782	23.593	24.509	23.737	23.314	22.902	22.474	22.634	22.866	24.195	24.405	23.327	22.781	24.042	23.253	22.846	22.714	21.979	24.591	23.053	23.504	23.797	23.893	23.282	22.795	22.699	22.316	22.298	21.806	23.732	24.334	23.823	23.721	23.077	23.608	23.027	22.565	22.744	22.687	22.360	21.909	23.301	24.566
24.463	23.864	24.291	23.703	22.991	22.924	23.003	23.466	24.408	24.155	25.016	24.282	23.903	23.539	23.077	23.231	23.476	24.692	24.879	23.879	23.383	24.564	23.803	23.452	23.321	22.623	25.074	23.620	23.860	24.309	24.425	23.791	23.417	23.301	22.928	22.922	22.457	24.331	24.784	24.367	24.217	23.706	24.150	23.591	23.175	23.400	23.302	23.011	22.472	23.807	25.023
25.326	25.645	24.625	25.157	24.693	24.443	24.512	25.009	26.068	26.459	27.087	25.788	26.068	25.787	24.569	24.685	25.039	24.808	26.493	26.322	24.880	25.755	25.821	24.952	25.193	24.229	25.818	24.929	26.473	24.238	26.690	25.404	25.136	25.359	24.354	24.716	23.831	26.633	24.546	26.062	24.259	26.106	26.458	24.882	24.997	25.071	24.743	24.550	23.969	26.432	25.156
