T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
560.351	461.456	719.776	731.745	628.950	640.247	670.844	773.573	526.787	952.637	883.709	694.394	731.850	661.800	614.900	722.350	682.702	881.694	426.625	523.796	715.774	674.772	656.031	599.379	676.099	588.304	624.326	738.073	581.111	521.035	462.650	702.663	593.766	619.261	612.571	593.088	707.047	404.756	950.802	728.262	564.851	648.820	608.569	695.448	615.854	616.488	663.016	621.166	678.056	504.166	976.037
539.385	464.827	678.559	693.465	592.413	599.879	627.186	722.978	522.288	897.829	835.882	667.101	692.622	626.964	582.022	677.565	646.351	832.963	437.281	512.490	677.938	641.004	621.272	569.713	637.051	557.748	608.518	702.811	552.872	514.994	465.689	663.961	565.023	584.202	578.405	556.558	656.858	416.256	892.177	700.778	544.658	613.949	583.935	660.321	582.733	584.752	627.177	584.292	630.156	504.951	914.800
657.464	635.542	774.698	801.550	673.791	671.052	697.005	802.723	689.117	1017.177	957.944	805.624	800.596	726.114	670.853	760.103	745.471	952.778	622.360	653.098	784.396	751.130	717.870	665.801	724.940	645.653	763.971	823.054	651.757	671.160	635.276	761.260	662.066	668.151	661.020	626.960	713.416	599.164	996.974	848.444	666.928	709.348	704.306	767.774	671.976	679.908	721.730	662.055	686.337	682.451	1017.947
300.230	338.651	322.562	344.071	279.579	270.557	277.452	318.823	349.560	426.058	408.563	366.369	339.817	310.144	285.960	308.635	318.171	403.074	346.472	317.348	334.740	323.866	306.474	289.253	301.568	277.589	368.084	361.909	282.598	338.822	338.033	321.773	289.424	279.305	278.653	254.400	274.022	334.774	407.877	389.352	306.817	300.848	317.863	332.545	285.514	292.066	306.611	272.615	263.765	357.106	414.051
601.569	819.869	552.289	590.455	548.342	525.074	462.704	504.558	681.153	916.793	810.311	555.219	502.907	615.732	569.934	456.795	668.756	988.232	733.423	736.325	534.752	543.080	460.354	495.381	547.770	507.212	886.469	591.159	643.007	730.482	793.376	425.570	542.220	531.581	489.324	414.707	423.775	825.435	838.613	602.903	749.453	512.914	660.778	524.719	447.314	492.026	617.054	430.002	420.051	912.106	789.544
595.641	806.941	617.292	702.145	669.778	619.819	535.417	574.256	661.667	1116.039	944.561	567.301	587.133	734.996	684.875	539.786	784.927	1187.755	700.953	705.352	597.898	585.963	544.546	577.522	668.289	640.509	937.191	683.375	654.829	745.059	763.279	505.648	638.725	658.297	599.706	457.751	523.372	762.066	1007.876	632.388	731.464	594.880	660.751	620.506	525.547	615.197	736.512	504.928	493.652	912.701	965.618
371.608	484.268	514.913	652.703	650.590	571.568	479.094	496.144	385.054	1063.291	841.705	383.645	531.333	686.540	647.999	500.807	711.762	1110.227	383.603	390.302	499.698	452.678	504.704	520.894	648.676	656.181	681.368	605.027	437.759	500.130	424.400	473.999	584.373	653.125	588.244	375.420	521.078	363.319	945.773	455.151	432.299	532.984	420.599	573.256	482.078	621.145	688.757	463.565	455.268	574.439	931.340
295.765	322.778	530.185	703.878	715.763	629.347	524.925	539.097	255.376	1130.234	877.805	318.398	588.359	732.834	710.421	551.616	748.374	1165.637	219.171	226.562	543.934	426.169	561.572	551.652	715.538	763.438	575.004	632.147	362.404	396.529	241.664	521.602	615.990	721.035	664.228	385.144	610.870	140.696	1027.857	388.565	291.857	603.309	330.060	624.789	517.346	718.537	747.912	504.336	520.033	395.978	1024.736
281.860	211.233	524.405	673.382	680.929	634.518	541.599	568.516	187.091	1012.972	817.088	278.570	611.319	682.135	689.776	552.651	698.174	1038.641	125.406	131.015	595.011	391.174	572.868	527.136	684.841	773.518	443.696	596.336	323.855	311.145	122.666	514.969	573.280	676.036	660.512	389.205	643.173	25.808	983.805	319.254	212.931	659.203	290.338	614.222	499.307	729.252	721.077	499.342	561.579	242.134	978.310
276.730	150.433	477.612	559.573	547.834	540.029	492.407	537.175	171.990	787.093	669.955	286.541	547.504	544.565	554.270	501.001	557.595	785.951	90.966	127.267	546.330	364.188	502.430	441.329	561.133	615.965	332.793	507.050	301.576	243.924	89.676	465.388	459.900	537.519	542.772	369.843	576.423	13.449	805.135	302.461	201.774	577.154	280.107	523.946	430.946	594.819	581.010	442.241	521.179	160.569	804.652
