T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
18.496	17.658	17.993	17.551	16.956	16.915	17.200	17.439	18.155	18.365	19.566	17.969	17.977	17.404	16.938	17.755	17.285	18.516	19.085	18.463	17.606	18.341	18.016	17.133	17.453	16.984	18.711	18.088	18.405	18.271	18.019	18.938	16.962	17.914	17.055	17.135	17.078	17.963	18.987	18.100	18.006	17.624	18.762	17.741	16.995	17.163	17.203	17.138	16.675	19.158	18.589
22.075	21.300	21.735	21.211	20.593	20.542	20.787	21.025	21.789	21.919	23.027	21.562	21.566	20.994	20.595	21.361	20.906	22.227	22.558	21.975	21.265	21.917	21.566	20.751	21.066	20.581	22.367	21.736	21.838	21.993	21.578	22.415	20.598	21.398	20.664	20.732	20.676	21.528	22.731	21.747	21.766	21.221	22.207	21.392	20.655	20.800	20.819	20.734	20.291	22.521	22.306
24.161	23.505	24.176	23.462	22.783	22.717	22.887	23.202	23.984	23.946	24.869	23.968	23.661	23.122	22.835	23.507	23.072	24.616	24.434	23.908	23.508	24.003	23.572	22.987	23.203	22.700	24.627	23.967	23.615	24.388	23.752	24.284	22.885	23.280	22.802	22.850	22.790	23.623	25.173	23.971	24.241	23.330	24.003	23.623	22.894	22.995	22.968	22.860	22.449	24.177	24.693
25.622	25.091	25.910	25.072	24.365	24.274	24.366	24.665	25.546	25.371	26.122	25.495	25.153	24.586	24.446	25.012	24.616	26.280	25.701	25.267	25.122	25.455	25.001	24.479	24.742	24.195	26.210	25.549	24.826	26.085	25.120	25.568	24.387	24.585	24.326	24.351	24.298	25.027	26.912	25.561	26.010	24.839	25.240	25.217	24.515	24.569	24.508	24.348	23.983	25.243	26.382
25.705	25.913	26.009	26.153	25.101	25.444	25.199	24.501	26.690	25.807	26.643	25.345	25.894	25.084	25.338	26.208	25.432	26.286	26.076	25.213	26.816	24.942	25.863	24.774	25.296	25.731	25.760	27.648	23.925	26.918	24.704	26.839	24.706	24.476	25.652	24.899	25.433	25.463	27.084	26.057	25.947	25.761	24.670	26.788	25.066	25.835	25.268	25.162	24.545	24.912	26.459
26.117	26.469	25.373	26.658	25.615	25.994	26.149	25.487	27.197	26.697	28.064	25.985	26.703	25.824	25.796	26.980	26.114	25.693	27.302	26.400	27.247	25.350	26.939	25.486	25.939	26.484	25.681	28.098	25.470	26.302	25.788	27.950	25.314	25.568	26.393	25.674	26.336	26.328	26.357	26.723	25.123	26.537	26.077	27.304	25.453	26.291	25.935	26.023	25.388	26.488	26.000
29.102	29.412	27.018	29.521	28.533	28.907	29.645	29.125	30.058	30.177	32.299	29.152	30.005	29.073	28.624	30.224	29.239	27.426	31.321	30.377	29.896	28.437	30.570	28.730	29.054	29.614	28.154	30.756	29.842	27.813	29.670	31.701	28.398	29.459	29.523	29.006	29.666	29.775	27.851	29.859	26.532	29.755	30.449	30.115	28.236	29.062	29.046	29.437	28.726	31.096	27.831
29.156	29.196	26.138	29.212	28.396	28.695	29.781	29.383	29.844	30.606	32.995	29.126	30.053	29.558	28.344	30.205	29.130	26.713	31.888	30.984	29.472	28.526	30.802	28.729	29.044	29.519	27.854	30.291	31.040	26.799	30.498	32.163	28.388	30.113	29.420	29.082	29.699	30.421	26.892	29.724	25.546	30.074	31.347	29.773	28.240	28.804	28.953	29.552	28.731	32.222	27.038
28.080	27.987	24.438	27.501	27.278	27.125	28.397	28.120	28.444	29.965	32.085	27.962	29.156	28.788	26.831	28.739	27.587	25.249	30.915	30.505	27.712	27.450	29.561	27.347	28.085	27.996	26.547	28.439	30.796	24.909	29.874	31.193	27.330	29.432	27.875	27.726	28.251	29.679	25.120	28.391	23.806	29.170	30.726	28.034	27.182	27.496	27.448	28.206	27.225	31.871	25.304
29.453	28.847	25.581	28.364	28.267	28.088	29.382	29.240	29.318	31.043	33.330	28.951	30.089	29.802	27.730	29.676	28.550	26.568	32.200	31.680	28.535	28.867	30.595	28.344	29.106	28.914	27.890	29.198	32.076	26.006	30.942	32.439	28.263	30.896	28.798	28.789	29.194	30.675	26.329	29.247	25.040	30.061	32.221	28.856	28.119	28.396	28.456	29.211	28.302	33.512	26.490
