T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
667.399	915.448	689.237	916.686	864.258	828.042	825.191	833.874	892.550	902.894	777.247	903.290	877.198	867.296	867.430	821.125	849.561	727.690	705.665	835.464	902.063	707.052	837.739	845.922	870.717	822.171	743.645	893.844	754.660	692.206	917.265	693.359	868.790	679.217	806.287	846.764	836.810	935.339	699.388	937.234	703.885	868.022	730.459	877.246	897.962	865.594	815.931	812.169	832.540	704.339	692.989
667.243	898.190	681.771	899.439	849.022	813.533	814.970	825.018	882.228	893.574	780.443	893.687	866.171	854.303	851.069	812.503	835.216	710.451	707.937	829.273	883.245	704.818	827.266	834.106	856.264	804.508	738.046	876.562	753.942	673.468	902.460	692.533	851.161	679.218	791.148	836.029	822.361	918.891	685.023	921.604	688.442	851.677	731.013	862.537	882.283	851.227	804.313	803.463	816.688	709.873	676.998
1343.052	1606.741	1335.706	1606.419	1544.602	1496.992	1511.864	1529.029	1604.021	1623.482	1507.680	1621.171	1580.893	1558.729	1542.818	1514.141	1528.802	1337.349	1407.436	1545.528	1579.054	1385.623	1527.463	1532.677	1557.159	1478.260	1418.898	1575.455	1460.459	1289.094	1620.362	1376.704	1540.009	1360.030	1464.881	1539.184	1507.933	1639.418	1315.381	1642.350	1316.815	1548.048	1434.771	1562.141	1586.321	1549.244	1493.020	1500.879	1496.685	1419.441	1296.946
1033.012	1289.516	1020.866	1290.826	1226.666	1178.336	1200.925	1222.504	1298.987	1320.599	1214.090	1319.218	1271.860	1245.171	1224.323	1205.125	1211.018	1018.138	1103.605	1241.042	1259.529	1078.906	1217.547	1221.472	1240.921	1149.766	1112.029	1256.797	1156.655	955.598	1307.388	1066.824	1218.717	1050.945	1142.225	1229.816	1191.032	1323.662	993.930	1331.178	993.705	1225.524	1129.001	1248.785	1273.720	1234.053	1178.793	1191.691	1176.271	1122.287	974.709
871.971	786.528	891.215	808.954	837.918	830.082	841.631	839.584	841.689	836.817	894.102	842.076	844.954	838.770	825.216	841.851	815.615	891.809	864.623	858.110	807.804	892.627	859.476	835.431	837.733	822.311	894.544	823.166	878.498	868.748	786.071	859.766	802.417	888.320	835.412	832.817	849.087	789.224	860.884	806.125	883.280	808.716	880.059	823.674	817.380	836.289	833.131	847.862	826.563	892.547	869.135
754.099	699.826	801.936	737.895	729.972	736.394	738.221	725.913	743.944	681.405	771.158	722.139	733.928	712.919	738.271	742.911	719.242	865.403	747.378	700.578	763.478	719.341	784.604	729.716	733.784	757.710	753.655	780.041	671.551	863.327	649.584	752.427	721.388	723.326	773.647	704.869	789.894	654.023	860.736	724.058	838.690	735.094	695.151	767.621	714.382	747.770	732.227	734.552	759.647	673.794	862.303
722.974	720.704	809.472	778.209	717.628	744.171	729.741	703.329	741.229	602.726	728.378	690.206	713.919	675.537	755.850	738.793	724.028	961.549	718.361	618.136	841.515	614.056	814.333	719.708	726.298	805.000	692.505	858.530	523.972	989.058	605.622	737.956	749.771	628.037	823.815	665.877	842.504	610.606	993.528	748.754	909.415	770.288	573.405	826.595	711.758	761.110	728.969	711.373	803.656	505.190	985.818
563.109	615.865	674.173	667.563	596.793	621.617	593.397	564.708	607.775	477.704	547.744	555.960	582.001	551.128	638.392	599.720	606.511	861.713	545.888	477.901	734.076	461.917	673.364	588.752	603.773	694.559	552.915	746.825	361.540	902.096	502.750	574.141	641.518	461.443	703.863	532.458	713.729	512.253	894.295	638.064	803.780	658.939	410.708	706.053	594.379	638.116	599.499	569.941	682.442	326.928	893.355
672.200	787.607	798.118	811.022	767.015	770.861	729.523	708.538	744.494	696.265	625.097	715.930	736.620	735.945	788.728	726.775	767.432	979.596	627.204	670.051	851.714	649.981	766.961	736.042	766.312	832.435	727.254	855.416	565.969	1018.538	733.684	661.158	799.495	613.763	820.708	700.754	811.584	751.488	980.650	793.878	931.998	805.374	591.432	814.373	762.519	781.897	744.430	708.968	802.636	518.615	1000.440
898.176	1095.130	1029.639	1098.264	1064.594	1050.100	999.125	984.090	1020.557	1027.705	846.793	1010.244	1023.992	1043.019	1074.718	988.220	1057.723	1201.090	845.149	975.684	1118.749	933.043	1008.411	1017.238	1059.193	1103.497	1001.674	1113.476	873.607	1236.201	1080.404	880.248	1092.668	872.978	1073.918	996.376	1056.263	1105.951	1178.125	1092.037	1161.661	1089.123	878.736	1070.594	1064.675	1060.318	1018.555	978.633	1064.035	808.774	1209.722
